id,title,author,location,section,category_name,available,image
129,Adventures in Quantum Mechanics,Eve Taylor,"3rd floor, 3rd compartment, 7th box",Section-A (Computer Science),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BQuantum%2BMechanics
130,Exploring the Stars,Ivan Williams,"2nd floor, 1st compartment, 1st box",Section-A (Computer Science),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2Bthe%2BStars
131,Guide to Blockchain,Eve Smith,"4th floor, 4th compartment, 3rd box",Section-E(BBA/MBA),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BBlockchain
132,The Secret Digital Marketing,Bob Williams,"2nd floor, 5th compartment, 3rd box",Section-D(Politics),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BDigital%2BMarketing
133,Introduction to Ancient Civilizations,Heidi Wilson,"4th floor, 1st compartment, 2nd box",Section-C (Agriculture),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BAncient%2BCivilizations
134,Journey to Human Behavior,Bob Taylor,"3rd floor, 1st compartment, 7th box",Section-D(Politics),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BHuman%2BBehavior
135,Adventures in Blockchain,Diana Brown,"3rd floor, 1st compartment, 6th box",Section-B(Pharmacy),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BBlockchain
136,Art of Human Behavior,Eve Smith,"3rd floor, 3rd compartment, 8th box",Section-C (Agriculture),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BHuman%2BBehavior
137,Advanced Digital Marketing,Heidi Jones,"1st floor, 2nd compartment, 1st box",Section-A (Computer Science),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BDigital%2BMarketing
138,Understanding Digital Marketing,Frank Johnson,"1st floor, 1st compartment, 7th box",Section-D(Politics),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BDigital%2BMarketing
139,Understanding the Stars,Bob Brown,"2nd floor, 5th compartment, 4th box",Section-C (Agriculture),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2Bthe%2BStars
140,Exploring Sustainable Living,Eve Wilson,"3rd floor, 4th compartment, 5th box",Section-C (Agriculture),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BSustainable%2BLiving
141,The Secret Data Science,Ivan Taylor,"4th floor, 2nd compartment, 7th box",Section-E(BBA/MBA),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BData%2BScience
142,Adventures in Quantum Mechanics,Frank Jones,"3rd floor, 4th compartment, 3rd box",Section-B(Pharmacy),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BQuantum%2BMechanics
143,Exploring Financial Markets,Diana Moore,"4th floor, 5th compartment, 5th box",Section-B(Pharmacy),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BFinancial%2BMarkets
144,Guide to Blockchain,Alice Brown,"2nd floor, 5th compartment, 7th box",Section-E(BBA/MBA),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BBlockchain
145,Fundamentals of Ancient Civilizations,Judy Smith,"1st floor, 4th compartment, 4th box",Section-E(BBA/MBA),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BAncient%2BCivilizations
146,Adventures in Sustainable Living,Judy Jones,"1st floor, 2nd compartment, 1st box",Section-B(Pharmacy),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BSustainable%2BLiving
147,Understanding Digital Marketing,Eve Johnson,"1st floor, 1st compartment, 8th box",Section-D(Politics),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BDigital%2BMarketing
148,Guide to Data Science,Charlie Johnson,"1st floor, 2nd compartment, 8th box",Section-C (Agriculture),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BData%2BScience
149,Art of Artificial Intelligence,Bob Taylor,"3rd floor, 5th compartment, 2nd box",Section-A (Computer Science),Biography,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BArtificial%2BIntelligence
150,History of Data Science,Diana Johnson,"1st floor, 1st compartment, 3rd box",Section-C (Agriculture),Research Paper,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BData%2BScience
151,Understanding Artificial Intelligence,Charlie Brown,"2nd floor, 1st compartment, 1st box",Section-A (Computer Science),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BArtificial%2BIntelligence
152,Fundamentals of Data Science,Frank Brown,"4th floor, 5th compartment, 3rd box",Section-E(BBA/MBA),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BData%2BScience
153,Chronicles of Digital Marketing,Eve Taylor,"2nd floor, 2nd compartment, 5th box",Section-C (Agriculture),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BDigital%2BMarketing
154,Guide to Financial Markets,Judy Smith,"4th floor, 3rd compartment, 7th box",Section-A (Computer Science),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BFinancial%2BMarkets
155,The Secret Human Behavior,Charlie Davis,"4th floor, 2nd compartment, 5th box",Section-D(Politics),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BHuman%2BBehavior
156,Understanding the Stars,Eve Smith,"2nd floor, 1st compartment, 2nd box",Section-C (Agriculture),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2Bthe%2BStars
157,Art of Data Science,Judy Wilson,"3rd floor, 5th compartment, 6th box",Section-B(Pharmacy),Manual,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BData%2BScience
158,Guide to Artificial Intelligence,Ivan Wilson,"3rd floor, 1st compartment, 7th box",Section-E(BBA/MBA),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BArtificial%2BIntelligence
159,Advanced Data Science,Heidi Johnson,"3rd floor, 1st compartment, 8th box",Section-D(Politics),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BData%2BScience
160,Fundamentals of Quantum Mechanics,Ivan Williams,"3rd floor, 3rd compartment, 7th box",Section-E(BBA/MBA),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BQuantum%2BMechanics
161,Advanced Sustainable Living,Frank Moore,"2nd floor, 4th compartment, 7th box",Section-E(BBA/MBA),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BSustainable%2BLiving
162,Understanding Blockchain,Ivan Smith,"4th floor, 1st compartment, 5th box",Section-E(BBA/MBA),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BBlockchain
163,Guide to Human Behavior,Grace Taylor,"3rd floor, 4th compartment, 2nd box",Section-E(BBA/MBA),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BHuman%2BBehavior
164,Science of Quantum Mechanics,Judy Taylor,"2nd floor, 2nd compartment, 4th box",Section-D(Politics),Research Paper,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BQuantum%2BMechanics
165,Chronicles of Ancient Civilizations,Diana Moore,"4th floor, 5th compartment, 7th box",Section-A (Computer Science),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BAncient%2BCivilizations
166,The Secret the Stars,Heidi Johnson,"1st floor, 1st compartment, 1st box",Section-E(BBA/MBA),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2Bthe%2BStars
167,Chronicles of Blockchain,Grace Taylor,"1st floor, 2nd compartment, 6th box",Section-D(Politics),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BBlockchain
168,Fundamentals of Data Science,Ivan Miller,"2nd floor, 1st compartment, 6th box",Section-B(Pharmacy),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BData%2BScience
169,The Secret Digital Marketing,Frank Moore,"3rd floor, 2nd compartment, 1st box",Section-A (Computer Science),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BDigital%2BMarketing
170,Mystery of Ancient Civilizations,Bob Williams,"3rd floor, 2nd compartment, 7th box",Section-E(BBA/MBA),Biography,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BAncient%2BCivilizations
171,Adventures in Financial Markets,Ivan Moore,"2nd floor, 2nd compartment, 1st box",Section-B(Pharmacy),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BFinancial%2BMarkets
172,Mystery of Machine Learning,Judy Brown,"2nd floor, 1st compartment, 4th box",Section-E(BBA/MBA),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BMachine%2BLearning
173,Advanced Human Behavior,Judy Taylor,"1st floor, 4th compartment, 7th box",Section-D(Politics),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BHuman%2BBehavior
174,Fundamentals of Digital Marketing,Judy Smith,"2nd floor, 1st compartment, 1st box",Section-D(Politics),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BDigital%2BMarketing
175,Mystery of Modern Physics,Charlie Davis,"4th floor, 4th compartment, 1st box",Section-B(Pharmacy),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BModern%2BPhysics
176,Mystery of Sustainable Living,Frank Wilson,"2nd floor, 2nd compartment, 3rd box",Section-B(Pharmacy),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BSustainable%2BLiving
177,Adventures in Sustainable Living,Charlie Brown,"1st floor, 4th compartment, 1st box",Section-A (Computer Science),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BSustainable%2BLiving
178,History of Modern Physics,Eve Smith,"1st floor, 1st compartment, 1st box",Section-C (Agriculture),Manual,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BModern%2BPhysics
179,Art of the Stars,Bob Jones,"2nd floor, 1st compartment, 4th box",Section-E(BBA/MBA),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2Bthe%2BStars
180,Exploring Data Science,Ivan Moore,"1st floor, 4th compartment, 5th box",Section-B(Pharmacy),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BData%2BScience
181,Adventures in Data Science,Ivan Jones,"3rd floor, 1st compartment, 2nd box",Section-E(BBA/MBA),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BData%2BScience
182,Science of Artificial Intelligence,Charlie Brown,"4th floor, 5th compartment, 3rd box",Section-A (Computer Science),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BArtificial%2BIntelligence
183,Fundamentals of Human Behavior,Charlie Johnson,"1st floor, 2nd compartment, 8th box",Section-A (Computer Science),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BHuman%2BBehavior
184,Understanding Ancient Civilizations,Bob Moore,"1st floor, 3rd compartment, 8th box",Section-E(BBA/MBA),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BAncient%2BCivilizations
185,Journey to Modern Physics,Frank Wilson,"4th floor, 5th compartment, 4th box",Section-E(BBA/MBA),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BModern%2BPhysics
186,Advanced Blockchain,Bob Brown,"4th floor, 4th compartment, 8th box",Section-D(Politics),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BBlockchain
187,Exploring Digital Marketing,Bob Miller,"2nd floor, 1st compartment, 5th box",Section-D(Politics),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BDigital%2BMarketing
188,Understanding Financial Markets,Alice Smith,"3rd floor, 4th compartment, 7th box",Section-E(BBA/MBA),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BFinancial%2BMarkets
189,The Secret Human Behavior,Judy Wilson,"3rd floor, 2nd compartment, 8th box",Section-A (Computer Science),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BHuman%2BBehavior
190,Art of Ancient Civilizations,Heidi Jones,"4th floor, 2nd compartment, 5th box",Section-D(Politics),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BAncient%2BCivilizations
191,Art of Ancient Civilizations,Alice Brown,"4th floor, 1st compartment, 1st box",Section-C (Agriculture),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BAncient%2BCivilizations
192,Guide to Digital Marketing,Heidi Johnson,"3rd floor, 5th compartment, 6th box",Section-D(Politics),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BDigital%2BMarketing
193,Guide to Ancient Civilizations,Heidi Brown,"2nd floor, 5th compartment, 8th box",Section-E(BBA/MBA),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BAncient%2BCivilizations
194,Fundamentals of Blockchain,Grace Wilson,"3rd floor, 5th compartment, 2nd box",Section-B(Pharmacy),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BBlockchain
195,Advanced Financial Markets,Heidi Jones,"4th floor, 2nd compartment, 7th box",Section-E(BBA/MBA),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BFinancial%2BMarkets
196,Guide to Artificial Intelligence,Judy Brown,"2nd floor, 5th compartment, 4th box",Section-C (Agriculture),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BArtificial%2BIntelligence
197,Art of the Stars,Heidi Jones,"4th floor, 5th compartment, 4th box",Section-A (Computer Science),Manual,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2Bthe%2BStars
198,Fundamentals of Artificial Intelligence,Charlie Smith,"3rd floor, 2nd compartment, 3rd box",Section-C (Agriculture),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BArtificial%2BIntelligence
199,History of Ancient Civilizations,Frank Wilson,"3rd floor, 4th compartment, 7th box",Section-D(Politics),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BAncient%2BCivilizations
200,Fundamentals of Blockchain,Eve Wilson,"1st floor, 5th compartment, 8th box",Section-C (Agriculture),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BBlockchain
201,The Secret Artificial Intelligence,Grace Moore,"3rd floor, 2nd compartment, 6th box",Section-B(Pharmacy),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BArtificial%2BIntelligence
202,History of Data Science,Ivan Moore,"4th floor, 1st compartment, 8th box",Section-D(Politics),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BData%2BScience
203,Understanding Financial Markets,Charlie Taylor,"3rd floor, 5th compartment, 4th box",Section-C (Agriculture),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BFinancial%2BMarkets
204,The Secret Machine Learning,Judy Jones,"2nd floor, 2nd compartment, 8th box",Section-B(Pharmacy),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BMachine%2BLearning
205,Fundamentals of Blockchain,Eve Johnson,"2nd floor, 3rd compartment, 6th box",Section-C (Agriculture),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BBlockchain
206,Fundamentals of Financial Markets,Charlie Brown,"3rd floor, 5th compartment, 6th box",Section-D(Politics),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BFinancial%2BMarkets
207,Guide to Sustainable Living,Frank Smith,"4th floor, 2nd compartment, 1st box",Section-E(BBA/MBA),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BSustainable%2BLiving
208,Science of Sustainable Living,Bob Johnson,"1st floor, 3rd compartment, 3rd box",Section-D(Politics),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BSustainable%2BLiving
209,The Secret Artificial Intelligence,Alice Johnson,"4th floor, 3rd compartment, 4th box",Section-B(Pharmacy),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BArtificial%2BIntelligence
210,Chronicles of Human Behavior,Grace Davis,"2nd floor, 3rd compartment, 7th box",Section-E(BBA/MBA),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BHuman%2BBehavior
211,Science of Artificial Intelligence,Judy Wilson,"2nd floor, 5th compartment, 5th box",Section-C (Agriculture),Manual,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BArtificial%2BIntelligence
212,Journey to Sustainable Living,Diana Williams,"3rd floor, 3rd compartment, 7th box",Section-A (Computer Science),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BSustainable%2BLiving
213,Introduction to Data Science,Heidi Davis,"2nd floor, 2nd compartment, 7th box",Section-A (Computer Science),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BData%2BScience
214,Fundamentals of Ancient Civilizations,Judy Brown,"1st floor, 5th compartment, 2nd box",Section-C (Agriculture),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BAncient%2BCivilizations
215,Chronicles of Sustainable Living,Charlie Taylor,"1st floor, 4th compartment, 7th box",Section-B(Pharmacy),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BSustainable%2BLiving
216,Adventures in Quantum Mechanics,Diana Williams,"1st floor, 1st compartment, 7th box",Section-C (Agriculture),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BQuantum%2BMechanics
217,Advanced the Stars,Judy Williams,"2nd floor, 2nd compartment, 2nd box",Section-D(Politics),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2Bthe%2BStars
218,Guide to Modern Physics,Grace Johnson,"4th floor, 5th compartment, 4th box",Section-C (Agriculture),Business,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BModern%2BPhysics
219,History of the Stars,Ivan Taylor,"2nd floor, 3rd compartment, 5th box",Section-B(Pharmacy),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2Bthe%2BStars
220,The Secret Financial Markets,Heidi Johnson,"3rd floor, 1st compartment, 1st box",Section-D(Politics),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BFinancial%2BMarkets
221,Understanding Digital Marketing,Frank Miller,"2nd floor, 1st compartment, 5th box",Section-B(Pharmacy),Thriller,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BDigital%2BMarketing
222,Chronicles of Artificial Intelligence,Charlie Taylor,"1st floor, 2nd compartment, 7th box",Section-C (Agriculture),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BArtificial%2BIntelligence
223,Art of Blockchain,Charlie Taylor,"1st floor, 1st compartment, 7th box",Section-B(Pharmacy),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BBlockchain
224,Art of Machine Learning,Frank Taylor,"2nd floor, 5th compartment, 3rd box",Section-D(Politics),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BMachine%2BLearning
225,Journey to the Stars,Frank Jones,"1st floor, 3rd compartment, 5th box",Section-D(Politics),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2Bthe%2BStars
226,Understanding Digital Marketing,Alice Moore,"3rd floor, 2nd compartment, 8th box",Section-A (Computer Science),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BDigital%2BMarketing
227,Advanced Blockchain,Ivan Jones,"2nd floor, 1st compartment, 3rd box",Section-C (Agriculture),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BBlockchain
228,Guide to Digital Marketing,Charlie Moore,"4th floor, 5th compartment, 2nd box",Section-B(Pharmacy),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BDigital%2BMarketing
229,Science of Blockchain,Ivan Moore,"4th floor, 5th compartment, 6th box",Section-D(Politics),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BBlockchain
230,Adventures in Data Science,Diana Smith,"3rd floor, 1st compartment, 6th box",Section-A (Computer Science),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BData%2BScience
231,Fundamentals of the Stars,Judy Williams,"4th floor, 4th compartment, 5th box",Section-A (Computer Science),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2Bthe%2BStars
232,Mystery of Artificial Intelligence,Frank Smith,"4th floor, 3rd compartment, 3rd box",Section-B(Pharmacy),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BArtificial%2BIntelligence
233,Fundamentals of Ancient Civilizations,Alice Wilson,"1st floor, 3rd compartment, 7th box",Section-B(Pharmacy),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BAncient%2BCivilizations
234,Exploring Blockchain,Heidi Williams,"1st floor, 4th compartment, 3rd box",Section-E(BBA/MBA),Biography,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2BBlockchain
235,Guide to Artificial Intelligence,Bob Moore,"3rd floor, 4th compartment, 5th box",Section-D(Politics),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BArtificial%2BIntelligence
236,Science of Ancient Civilizations,Diana Wilson,"3rd floor, 2nd compartment, 3rd box",Section-A (Computer Science),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BAncient%2BCivilizations
237,Guide to Modern Physics,Bob Johnson,"4th floor, 5th compartment, 6th box",Section-E(BBA/MBA),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BModern%2BPhysics
238,Fundamentals of Blockchain,Ivan Williams,"1st floor, 5th compartment, 5th box",Section-B(Pharmacy),Article,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BBlockchain
239,Introduction to Quantum Mechanics,Frank Davis,"1st floor, 1st compartment, 7th box",Section-C (Agriculture),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Introduction%2Bto%2BQuantum%2BMechanics
240,The Secret Blockchain,Diana Miller,"3rd floor, 3rd compartment, 8th box",Section-E(BBA/MBA),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BBlockchain
241,Art of Machine Learning,Grace Moore,"3rd floor, 2nd compartment, 5th box",Section-B(Pharmacy),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BMachine%2BLearning
242,Guide to Digital Marketing,Frank Williams,"4th floor, 2nd compartment, 1st box",Section-D(Politics),E-Book,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BDigital%2BMarketing
243,Science of the Stars,Charlie Johnson,"2nd floor, 4th compartment, 5th box",Section-A (Computer Science),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2Bthe%2BStars
244,Understanding Modern Physics,Heidi Williams,"4th floor, 1st compartment, 8th box",Section-B(Pharmacy),Fiction,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BModern%2BPhysics
245,The Secret Ancient Civilizations,Grace Taylor,"3rd floor, 4th compartment, 7th box",Section-C (Agriculture),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=The%2BSecret%2BAncient%2BCivilizations
246,Adventures in Artificial Intelligence,Judy Smith,"3rd floor, 5th compartment, 4th box",Section-C (Agriculture),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BArtificial%2BIntelligence
247,Science of the Stars,Ivan Smith,"1st floor, 3rd compartment, 8th box",Section-D(Politics),Programming,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2Bthe%2BStars
248,Chronicles of Quantum Mechanics,Alice Davis,"4th floor, 2nd compartment, 1st box",Section-A (Computer Science),Biography,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BQuantum%2BMechanics
249,Chronicles of Artificial Intelligence,Eve Moore,"1st floor, 5th compartment, 5th box",Section-D(Politics),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BArtificial%2BIntelligence
250,History of Ancient Civilizations,Judy Davis,"4th floor, 5th compartment, 5th box",Section-A (Computer Science),Manual,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BAncient%2BCivilizations
251,Art of Machine Learning,Heidi Johnson,"4th floor, 1st compartment, 7th box",Section-D(Politics),History,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BMachine%2BLearning
252,Mystery of Blockchain,Eve Johnson,"2nd floor, 4th compartment, 3rd box",Section-E(BBA/MBA),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Mystery%2Bof%2BBlockchain
253,Understanding Financial Markets,Grace Johnson,"3rd floor, 3rd compartment, 3rd box",Section-B(Pharmacy),Article,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BFinancial%2BMarkets
254,Adventures in Artificial Intelligence,Bob Jones,"1st floor, 2nd compartment, 1st box",Section-C (Agriculture),Fiction,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Adventures%2Bin%2BArtificial%2BIntelligence
255,Guide to Ancient Civilizations,Judy Wilson,"2nd floor, 4th compartment, 4th box",Section-E(BBA/MBA),E-Book,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BAncient%2BCivilizations
256,Guide to Sustainable Living,Frank Miller,"3rd floor, 1st compartment, 1st box",Section-D(Politics),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BSustainable%2BLiving
